suite,case,elapsed_sec,joins_sr,joins_nr,broadcast_join_sr,broadcast_join_nr,partitioned_join_sr,partitioned_join_nr,shuffle_exchange_sr,shuffle_exchange_nr,broadcast_exchange_sr,broadcast_exchange_nr,runtime_filter_build_sr,runtime_filter_build_nr,runtime_filter_probe_sr,runtime_filter_probe_nr,scan_sr,scan_nr,agg_sr,agg_nr,sort_topn_sr,sort_topn_nr,max_card_rows_sr,max_card_rows_nr,gap_tags
tpc-ds,q37,1.86,3,3,1,3,2,0,4,1,1,2,3,3,4,3,4,4,2,2,2,1,0,4294381,BroadcastJoin更多(+2);PartitionedJoin更少(-2);ShuffleExchange更少(-3);RFProbe更少(-1)
tpc-h,q12,1.80,1,1,1,1,0,0,2,1,1,0,1,1,1,1,2,2,2,2,1,1,0,1350000,ShuffleExchange更少(-1)
tpc-ds,q83,1.78,14,14,6,14,8,0,15,3,6,1,14,14,21,11,15,15,6,6,1,1,0,249752,BroadcastJoin更多(+8);PartitionedJoin更少(-8);ShuffleExchange更少(-12);RFProbe更少(-10)
tpc-ds,q62,1.65,4,4,4,4,0,0,1,1,4,0,4,4,4,4,5,5,2,2,2,1,0,718668,
tpc-h,q20,1.60,4,4,1,3,3,1,7,2,1,0,5,3,9,3,5,5,2,2,1,1,0,1484889,BroadcastJoin更多(+2);PartitionedJoin更少(-2);ShuffleExchange更少(-5);RFProbe更少(-6);RFBuild更少(-2)
tpc-h,q13,1.49,1,1,0,0,1,1,4,4,0,0,1,1,1,0,2,2,3,4,1,1,0,1500000,RFProbe更少(-1)
tpc-ds,q22,1.40,2,2,2,2,0,0,1,1,2,0,2,2,2,2,3,3,2,2,1,1,0,42532172,
tpc-h,q2,1.40,4,4,4,4,0,0,1,1,4,2,4,4,4,4,5,5,0,0,2,2,0,648000,
tpc-ds,q21,1.21,3,3,3,3,0,0,1,1,3,0,3,3,3,3,4,4,2,2,1,1,0,8562105,
tpc-ds,q30,1.17,5,5,4,4,1,1,6,2,4,1,6,4,8,2,5,5,4,4,1,1,0,27299683,ShuffleExchange更少(-4);RFProbe更少(-6);RFBuild更少(-2)
tpc-ds,q86,1.10,2,2,2,2,0,0,2,1,2,0,2,2,2,2,3,3,2,2,2,2,0,1736281,ShuffleExchange更少(-1)
tpc-h,q16,0.96,2,2,1,2,1,0,4,0,1,1,1,1,1,1,3,3,3,1,1,1,0,720000,BroadcastJoin更多(+1);PartitionedJoin更少(-1);ShuffleExchange更少(-4);Agg节点更少(-2)
tpc-ds,q91,0.84,6,6,6,6,0,0,2,1,6,2,6,6,11,4,7,7,2,2,1,1,0,124614,ShuffleExchange更少(-1);RFProbe更少(-7)
tpc-ds,q1,0.51,4,4,3,3,1,2,6,5,3,1,4,3,8,1,4,4,4,4,1,1,0,277502,ShuffleExchange更少(-1);RFProbe更少(-7);RFBuild更少(-1)
tpc-ds,q84,0.51,5,5,3,5,2,0,3,0,3,3,5,5,11,5,6,6,0,0,1,1,0,1728720,BroadcastJoin更多(+2);PartitionedJoin更少(-2);ShuffleExchange更少(-3);RFProbe更少(-6)
tpc-h,q22,0.46,1,2,0,0,1,1,4,3,1,0,1,0,1,0,3,3,4,4,1,1,0,1500000,ShuffleExchange更少(-1);RFProbe更少(-1);RFBuild更少(-1)
tpc-h,q15,0.45,2,2,1,2,1,0,5,2,0,0,2,2,3,1,3,3,6,6,1,1,0,1609580,BroadcastJoin更多(+1);PartitionedJoin更少(-1);ShuffleExchange更少(-3);RFProbe更少(-2)
tpc-h,q6,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,904713,
tpc-h,q14,0.33,1,1,0,1,1,0,3,0,0,0,1,1,1,1,2,2,2,2,0,0,0,1068308,BroadcastJoin更多(+1);PartitionedJoin更少(-1);ShuffleExchange更少(-3)
tpc-ds,q41,0.14,1,1,1,1,0,0,2,1,1,0,2,0,2,0,2,2,4,3,2,1,0,11602,ShuffleExchange更少(-1);RFProbe更少(-2);RFBuild更少(-2);Agg节点更少(-1)
